,Export Capacity (MW)
AL00-GR00,400.0
AL00-GR00 Concept 2,500.0
AL00-ME00,350.0
AL00-ME00 Concept 1,500.0
AL00-ME00 Concept 2,500.0
AL00-ME00 Concept 3,500.0
AL00-ME00 Concept 4,500.0
AL00-ME00 Virtual 1,500.0
AL00-MK00,500.0
AL00-RS00,500.0
AT00-AT00EV2W,7073.76160934
AT00-AT00EV2W V2g,7073.76160934
AT00-AT00H2R1 Expansion,10000.0
AT00-AT00RETE,100000.0
AT00-AT00SNR1,100000.0
AT00-CH00,1200.0
AT00-CZ00,900.0
AT00-CZ00 Concept 1,500.0
AT00-CZ00 Concept 2,500.0
AT00-CZ00 Virtual 1,500.0
AT00-CZ00 Virtual 2,500.0
AT00-DE00,5400.0
AT00-DE00 Real 1,1500.0
AT00-DE00 Real 2,600.0
AT00-DE00 Real 3,1000.0
AT00H2MT-AT00H2C3 Expansion,212.1570474
AT00H2MT-SI00H2MT (1) Expansion,1546.875
AT00H2MT-SK00H2MT (1) Expansion,7086.875
AT00H2R1-AT00SNR1,100000.0
AT00-HU00,800.0
AT00-IT00,800.0
AT00-IT00 Real 1,500.0
AT00-IT00 Real 2,150.0
AT00RETE-AT00EV2W,1236.12512808
AT00RETE-AT00EV2W V2g,1236.12512808
AT00-SI00,950.0
BA00-HR00,750.0
BA00-ME00,800.0
BA00-ME00 Concept 1,500.0
BA00-ME00 Concept 2,500.0
BA00-ME00 Virtual 1,500.0
BA00-ME00 Virtual 2,500.0
BA00-RS00,530.0
BA00-RS00 Concept 1,500.0
BA00-RS00 Concept 2,500.0
BA00-RS00 Real 1,1130.0
BA00-RS00 Real 2,1180.0
BA00-RS00 Virtual 1,500.0
BE00-BE00EV2W,8362.45174451
BE00-BE00EV2W V2g,8362.45174451
BE00-BE00H2R1 Expansion,4000.0
BE00-BE00RETE,100000.0
BE00-BE00SNR1,100000.0
BE00-DE00,1000.0
BE00-FR00,2800.0
BE00-FR00 Concept 1,1000.0
BE00H2MT-BE00H2C3 Expansion,598.1169491
BE00H2MT-DE00H2MT (1) Expansion,9046.875
BE00H2MT-FR00H2MT (1) Expansion,22968.75
BE00H2MT-FR00H2MT (2) Expansion,4670.3125
BE00H2MT-NL00H2MT (1) Expansion,8468.75
BE00H2MT-UK00H2MT (1) Expansion,25106.25
BE00H2MT-UK00H2MT (2) Expansion,1087.9375
BE00H2R1-BE00SNR1,100000.0
BE00-LUB1,380.0
BE00-LUG1,300.0
BE00-NL00,2400.0
BE00-NL00 Real 1,1000.0
BE00RETE-BE00EV2W,1765.15182596
BE00RETE-BE00EV2W V2g,1765.15182596
BE00-UK00,1000.0
BG00-BG00EV2W,5524.75806455
