,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,ITS1,ITCN,ITCS,ITN1,ITSA,ITSI,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00
t_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03546075109682537,0.008610425097369638,0.0978139343127737,0.0,0.03597472881713849,0.0,0.0,0.08178680079433773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_9,0.1398198059201718,0.0,0.04050271246066046,0.008484497483610466,0.0,0.0,0.06047808806122273,0.05846260319421898,0.1412741361488066,0.05804260858614662,0.2485140061317621,0.2262874868489506,0.2382404328535325,0.1500614475746764,0.1703165439212119,0.235440006302133,0.0,0.0,0.0,0.0,0.0,0.01463324831613551,0.0,0.0,0.0,0.0,0.0,0.2323414024931147,0.1013261415640069,0.0
t_10,0.2412644389026474,0.02076139385840203,0.1189366716391905,0.04464396541855453,0.040079163579695,0.05236311767041118,0.2386211709517436,0.1873738444067338,0.2357023756495296,0.1073071124051719,0.4004072692478081,0.3966809691728471,0.4072437006433592,0.2981563293238103,0.3274805823356448,0.3395670434189865,0.01266613635643612,0.02326421439252429,0.0,0.0,0.0,0.04928237618309804,0.09199650088862413,0.0,0.0,0.002466772729524693,0.02917555374447718,0.3874110276990661,0.1617736155998377,0.005296023145833247
t_11,0.3339603479745304,0.05975223008134815,0.213107977396412,0.08522288281938623,0.0941203738680812,0.1057843550674259,0.3869881310857818,0.3031447194302926,0.3026334608888943,0.1360427406102787,0.4899321491599291,0.4871432755508674,0.5149167496725693,0.3965392492367692,0.4427115899197684,0.3571044178962784,0.02969423851416313,0.07184654375932742,0.000428346164544511,0.0,0.03989266456547992,0.07797010782037489,0.1925796392295912,0.0,0.0,0.01623918637357042,0.06525392847266014,0.4519227992483118,0.1832245411635413,0.02037996768354429
t_12,0.3771148100359757,0.09610739596671138,0.2233306491176895,0.1128103545208303,0.1220954105994251,0.1124869587222704,0.4837682647323933,0.3871221889210744,0.3356974297812211,0.1555164852640649,0.4921712384619244,0.5117045648307152,0.5489909673043241,0.435050150577911,0.4837126508735568,0.3333240784854939,0.04442273002939856,0.1051103713507158,0.139044340424328,0.004765459446130516,0.06210862895206996,0.08441255750423136,0.2992619352768399,0.0,0.001006832529292842,0.0250492572609647,0.08532268390771372,0.4570988196021608,0.1751004258308644,0.03402198238607866
t_13,0.3414777751969154,0.1103344059941751,0.1719986344756352,0.1155403939580813,0.1243911966932517,0.09494508227101,0.5328611435008824,0.422827005619866,0.3290640914198395,0.1500179707449111,0.4636719621974886,0.4906189436938692,0.5170817151529905,0.4246621038944114,0.4367958850224035,0.2860006139894777,0.05803890672153623,0.1037029584613799,0.1215043334678047,0.001947385611217986,0.05662038186122244,0.07347106728893543,0.4182742229175982,0.0,0.0002132142535313092,0.01946603084428624,0.07834308389870169,0.4310148796606516,0.1384562441314921,0.04125452123371023
t_14,0.2623541448651799,0.08904484788678589,0.1150472820244048,0.08957897408394076,0.1116983341066291,0.05330505304719883,0.5095539028670993,0.3989909044184307,0.2633302148537972,0.1044036230904049,0.3856921212394865,0.3988652234525953,0.4207505548214433,0.3393851442559662,0.3358792560525207,0.2439727645474165,0.05012503870783856,0.0731063067277903,0.0,0.0,0.03131543109844161,0.04927303210582042,0.4541203107305611,0.0,0.0,0.004628083836249118,0.05199257008898824,0.3526235552549637,0.08860481089301875,0.03869803227007773
t_15,0.1565068960724822,0.05314145239409659,0.04717452735798981,0.04663040573425267,0.05968658576608336,0.006570674808602253,0.4268290610994173,0.320935062216617,0.1552805604159689,0.04550420295450844,0.2349228826222546,0.2560205759674817,0.2719900820154147,0.1995055053989948,0.230327606061539,0.1876938984142917,0.02918411463878341,0.03356412534251488,0.0,0.0,0.0,0.01353872607983971,0.3690830437386425,0.0,0.0,0.0,0.003889248625908592,0.2213528435981101,0.03418611977661013,0.02935303004370055
t_16,0.004350084967162489,0.01788218328266585,0.0,0.006682661769984125,0.0,0.0,0.3123523922290909,0.1907346941897859,0.03956202614400035,0.0,0.08818135031984449,0.1111582082741822,0.1168694176699927,0.07672000494638279,0.1194389424610827,0.0929932113195102,0.006736915378529351,0.0,0.0,0.0,0.0,0.0,0.2389416342389298,0.0,0.0,0.0,0.0,0.03806648736444604,0.0,0.01141394488196328
t_17,0.0,0.0,0.0,0.0,0.0,0.0,0.1501258191392503,0.02223619570699824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09888515023448244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003304749325178263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0420529879629021,0.03204692909657701,0.1149691238637379,0.0,0.03123788392956268,0.0,0.0,0.06337957099536799,0.0,0.0,0.0,0.0,0.0,0.0001182697256766365,0.0,0.0,0.0,0.0,0.0,0.0,0.005334887300610125,0.0
