,pv_2025_1995,pv_2025_2007,pv_2025_2008,pv_2030_1995,pv_2030_2007,pv_2030_2008,windof_2025_1995,windof_2025_2007,windof_2025_2008,windof_2030_1995,windof_2030_2007,windof_2030_2008,windon_2025_1995,windon_2025_2007,windon_2025_2008,windon_2030_1995,windon_2030_2007,windon_2030_2008
AT00,0.133433894,0.138625751,0.133912943,0.133433894,0.138625751,0.133912943,0,0,0,0,0,0,0.29058068,0.282002704,0.274881431,0.317313816,0.308473659,0.298257803
BE00,0.12404057,0.118871115,0.119506337,0.12404057,0.118871115,0.119506337,0.440893144,0.446743564,0.454067095,0.469413845,0.47415755,0.483995718,0.256843476,0.266500619,0.259381634,0.290975844,0.301967081,0.294524236
CZ00,0.123727569,0.129254953,0.125487558,0.123727567,0.129254951,0.125487558,0,0,0,0,0,0,0.299911314,0.308426391,0.282610368,0.325115075,0.332551239,0.306482061
DE00,0.100333529,0.100955953,0.101164655,0.100264056,0.100813626,0.10103252,0.465476993,0.490064194,0.492810324,0.500764279,0.522497803,0.523127052,0.253087296,0.265132643,0.24969912,0.278433525,0.292234138,0.276400726
DKE1,0.119604769,0.112899165,0.117938082,0.119604769,0.112899165,0.117938082,0.37951678,0.404029432,0.400587951,0.441185649,0.46448991,0.463325031,0.308394151,0.322760382,0.317574855,0.313204042,0.327558434,0.322277839
DKW1,0.119666527,0.113364017,0.116761553,0.119666527,0.113364017,0.116761553,0.572801137,0.583150859,0.536165504,0.572801137,0.583150859,0.536165504,0.303221606,0.32152734,0.302212877,0.319105667,0.337481627,0.317563796
ES00,0.184696866,0.184758847,0.180459028,0.184707137,0.184805033,0.180547996,0.546041131,0.535385087,0.489470125,0.546041131,0.535385087,0.489470125,0.270877939,0.247928153,0.252596692,0.280674682,0.256944969,0.261919607
FR00,0.148089354,0.147888128,0.143785542,0.147969962,0.147868234,0.143753412,0.484852557,0.486088203,0.514414721,0.479827099,0.484398909,0.506202261,0.28114534,0.284718574,0.271286447,0.302653787,0.306295566,0.29191837
HR00,0.135200875,0.138594503,0.137601633,0.135975619,0.139397023,0.138813924,0.267470724,0.243693026,0.284128764,0.267470724,0.243693026,0.284128764,0.28802543,0.280267315,0.299403679,0.292665282,0.284958386,0.303931256
HU00,0.14100995,0.145313726,0.146829726,0.140998261,0.145307906,0.146820644,0,0,0,0,0,0,0.245924976,0.235024175,0.241907405,0.245924976,0.235024175,0.241907405
ITS1,0.167139914,0.166838546,0.167577996,0.167139914,0.166838546,0.167577996,0.312421229,0.293924125,0.303459156,0.312421229,0.293924125,0.303459156,0.262893446,0.248522024,0.24963205,0.267307817,0.25280019,0.25440065
ITCN,0.158336845,0.160830216,0.153915957,0.158336845,0.160830216,0.153915957,0.242878162,0.216761284,0.222137275,0.242878162,0.216761284,0.222137275,0.252291076,0.241332556,0.240939614,0.250566048,0.239478077,0.239066649
ITCS,0.160998245,0.161446021,0.158002754,0.160998245,0.161446021,0.158002754,0.297739644,0.269297812,0.274776094,0.297739644,0.269297812,0.274776094,0.254865179,0.237310449,0.239460973,0.253996991,0.236649207,0.238478596
ITN1,0.153448265,0.154523552,0.142847935,0.153448265,0.154523552,0.142847935,0.298732863,0.266481519,0.255674781,0.298732863,0.266481519,0.255674781,0.211437014,0.228252924,0.22097133,0.211403431,0.228217417,0.220941796
ITSA,0.174986887,0.168008171,0.170156151,0.174986887,0.168008171,0.170156151,0.364829441,0.362340141,0.313629622,0.364829441,0.362340141,0.313629622,0.226100528,0.209563242,0.195055581,0.267330337,0.250677568,0.233299594
ITSI,0.166203312,0.164226083,0.166600864,0.166203312,0.164226083,0.166600864,0.341843207,0.317876042,0.295344846,0.341843207,0.317876042,0.295344846,0.222894197,0.207729893,0.200273977,0.24300043,0.226781809,0.21873513
LU00,0.119813453,0.122806745,0.11788989,0.119813453,0.122806745,0.11788989,0,0,0,0,0,0,0.305998811,0.325019262,0.297370852,0.320463498,0.33967916,0.312375551
NL00,0.124648922,0.113966675,0.118563358,0.124648922,0.113966675,0.118563358,0.493669799,0.504550261,0.515311867,0.500347627,0.510446939,0.521754905,0.287174113,0.299958406,0.301306523,0.302739028,0.316920758,0.319053233
NOM1,0.099137534,0.09734424,0.108547245,0.099137534,0.09734424,0.108547245,0.514266076,0.558453141,0.490635563,0.514266076,0.558453141,0.490635563,0.358420618,0.351927071,0.320464707,0.355443024,0.348935526,0.317516333
NON1,0.087276322,0.088749886,0.092888717,0.087276322,0.088749886,0.092888717,0.483978812,0.479051326,0.446162206,0.483978812,0.479051326,0.446162206,0.400088328,0.395483991,0.368636457,0.402578095,0.39792539,0.370993554
NOS0,0.121642584,0.114151949,0.11798766,0.120894265,0.114266878,0.117194621,0.582393362,0.591583695,0.539319528,0.527209425,0.530580525,0.480462467,0.361544647,0.361021261,0.331229852,0.361544647,0.361021261,0.331229852
PL00,0.120154958,0.119670211,0.118211925,0.120172496,0.119700885,0.118222679,0.493954843,0.51376817,0.507569206,0.493954843,0.51376817,0.507569206,0.324557489,0.33706493,0.32127731,0.315755675,0.327968915,0.31266514
PT00,0.180519849,0.18417093,0.180185389,0.180487095,0.18414786,0.180154062,0.460259254,0.40851779,0.393372275,0.460259254,0.40851779,0.393372275,0.300862459,0.264109538,0.281456865,0.309949593,0.271422357,0.289095578
SE01,0.103004356,0.102849365,0.099956162,0.103004356,0.102849365,0.099956162,0.462120891,0.429684679,0.40500981,0.462120891,0.429684679,0.40500981,0.294421928,0.270209688,0.251409338,0.300330073,0.275782002,0.256517842
SE02,0.111285959,0.110693294,0.108626443,0.111285959,0.110693294,0.108626443,0.49859517,0.465745399,0.439021378,0.49859517,0.465745399,0.439021378,0.341510122,0.307911382,0.293113549,0.348722247,0.314955424,0.299859455
SE03,0.115946699,0.112349233,0.111806442,0.115946699,0.112349233,0.111806442,0.424471658,0.417751551,0.419279606,0.470215462,0.467691271,0.467700173,0.332043474,0.317461862,0.307853741,0.339984342,0.325072479,0.31508753
SE04,0.118423906,0.111193897,0.116877201,0.118423906,0.111193897,0.116877201,0.405031849,0.414652708,0.41410668,0.454327415,0.467343402,0.465270119,0.318075521,0.318272441,0.319872753,0.330924061,0.330665514,0.331684037
SI00,0.135800279,0.140914211,0.134273416,0.135800279,0.140914211,0.134273416,0.198918339,0.198736709,0.22470541,0.198918339,0.198736709,0.22470541,0.185483161,0.178682642,0.185017333,0.185483161,0.178682642,0.185017333
SK00,0.129773647,0.137444968,0.132139033,0.129773647,0.137444968,0.132139033,0,0,0,0,0,0,0.228997949,0.223793429,0.235263019,0.228997949,0.223793429,0.235263019
UK00,0.124776812,0.115893258,0.115903182,0.124555596,0.115735437,0.115736087,0.505263699,0.492065939,0.528872969,0.505554085,0.491862068,0.528128763,0.297206796,0.299955219,0.314240681,0.322385857,0.325222163,0.3397183
