,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_9,0.033,0.027,0.038,0.009,0.056,0.019,0.023
t_10,0.301,0.271,0.304,0.338,0.144,0.251,0.269
t_11,0.41,0.387,0.256,0.281,0.188,0.449,0.545
t_12,0.632,0.585,0.473,0.535,0.301,0.68,0.729
t_13,0.713,0.639,0.465,0.578,0.24,0.705,0.749
t_14,0.625,0.566,0.552,0.666,0.513,0.693,0.741
t_15,0.332,0.324,0.127,0.567,0.555,0.515,0.609
t_16,0.122,0.125,0.037,0.199,0.324,0.167,0.305
t_17,0.018,0.012,0.03,0.041,0.063,0.036,0.035
t_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_33,0.024,0.026,0.024,0.027,0.06,0.022,0.041
t_34,0.173,0.173,0.157,0.081,0.26,0.146,0.199
t_35,0.271,0.283,0.196,0.139,0.314,0.197,0.302
t_36,0.345,0.305,0.061,0.149,0.387,0.241,0.399
t_37,0.322,0.271,0.189,0.151,0.351,0.32,0.477
t_38,0.248,0.205,0.124,0.188,0.371,0.331,0.476
t_39,0.189,0.176,0.107,0.228,0.32,0.231,0.442
t_40,0.117,0.103,0.07,0.118,0.2,0.121,0.185
t_41,0.022,0.015,0.025,0.041,0.063,0.026,0.017
t_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_57,0.009,0.008,0.005,0.013,0.019,0.01,0.011
t_58,0.053,0.043,0.023,0.022,0.081,0.05,0.052
t_59,0.103,0.076,0.105,0.066,0.138,0.081,0.097
t_60,0.159,0.184,0.013,0.119,0.127,0.141,0.126
t_61,0.114,0.109,0.045,0.017,0.131,0.135,0.108
t_62,0.145,0.116,0.036,0.036,0.167,0.097,0.13
t_63,0.098,0.09,0.049,0.134,0.098,0.092,0.11
t_64,0.059,0.088,0.024,0.033,0.075,0.063,0.082
t_65,0.015,0.017,0.005,0.011,0.044,0.013,0.019
t_66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_81,0.012,0.011,0.004,0.023,0.029,0.017,0.016
t_82,0.059,0.046,0.026,0.051,0.098,0.045,0.048
t_83,0.105,0.098,0.013,0.017,0.14,0.092,0.085
t_84,0.13,0.121,0.015,0.048,0.147,0.108,0.127
t_85,0.173,0.135,0.016,0.02,0.212,0.114,0.135
t_86,0.131,0.107,0.031,0.021,0.213,0.093,0.13
t_87,0.099,0.083,0.014,0.027,0.209,0.07,0.126
t_88,0.055,0.045,0.008,0.006,0.127,0.035,0.088
t_89,0.011,0.009,0.005,0.018,0.053,0.006,0.016
t_90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_105,0.044,0.065,0.063,0.105,0.181,0.072,0.132
t_106,0.235,0.202,0.346,0.417,0.598,0.366,0.326
