,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_9,0.016,0.026,0.032,0.013,0.012,0.02,0.015
t_10,0.143,0.232,0.26,0.305,0.143,0.285,0.112
t_11,0.275,0.265,0.273,0.235,0.288,0.376,0.268
t_12,0.379,0.43,0.482,0.517,0.475,0.641,0.312
t_13,0.335,0.399,0.439,0.508,0.432,0.574,0.31
t_14,0.222,0.321,0.453,0.576,0.554,0.589,0.266
t_15,0.112,0.113,0.109,0.428,0.435,0.346,0.266
t_16,0.041,0.065,0.058,0.135,0.181,0.146,0.046
t_17,0.007,0.005,0.022,0.032,0.029,0.021,0.01
t_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_33,0.021,0.023,0.024,0.03,0.034,0.031,0.057
t_34,0.136,0.179,0.146,0.11,0.218,0.188,0.363
t_35,0.241,0.299,0.207,0.169,0.278,0.267,0.458
t_36,0.247,0.247,0.133,0.187,0.25,0.167,0.639
t_37,0.233,0.189,0.246,0.225,0.275,0.226,0.626
t_38,0.167,0.135,0.192,0.346,0.247,0.224,0.641
t_39,0.1,0.103,0.107,0.222,0.26,0.17,0.498
t_40,0.055,0.073,0.063,0.115,0.107,0.085,0.255
t_41,0.009,0.013,0.021,0.034,0.029,0.016,0.02
t_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_57,0.009,0.009,0.007,0.014,0.017,0.014,0.007
t_58,0.035,0.027,0.025,0.03,0.045,0.031,0.04
t_59,0.058,0.105,0.14,0.041,0.054,0.035,0.04
t_60,0.187,0.107,0.042,0.097,0.083,0.131,0.035
t_61,0.067,0.038,0.042,0.02,0.042,0.022,0.03
t_62,0.057,0.08,0.098,0.064,0.081,0.046,0.061
t_63,0.061,0.164,0.133,0.085,0.074,0.04,0.029
t_64,0.038,0.092,0.042,0.036,0.077,0.043,0.06
t_65,0.013,0.015,0.007,0.009,0.012,0.009,0.014
t_66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_81,0.009,0.013,0.003,0.009,0.026,0.011,0.009
t_82,0.038,0.056,0.026,0.028,0.048,0.025,0.025
t_83,0.063,0.025,0.015,0.019,0.037,0.03,0.04
t_84,0.078,0.025,0.017,0.024,0.044,0.027,0.244
t_85,0.067,0.027,0.018,0.02,0.041,0.022,0.276
t_86,0.054,0.032,0.024,0.025,0.04,0.022,0.377
t_87,0.042,0.024,0.016,0.023,0.042,0.022,0.361
t_88,0.022,0.01,0.008,0.007,0.02,0.01,0.222
t_89,0.007,0.004,0.005,0.01,0.032,0.004,0.024
t_90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_105,0.034,0.052,0.049,0.073,0.065,0.056,0.046
t_106,0.16,0.301,0.277,0.323,0.304,0.308,0.232
