,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_9,0.016,0.025,0.031,0.013,0.012,0.019,0.015
t_10,0.118,0.183,0.208,0.24,0.116,0.221,0.091
t_11,0.211,0.2,0.206,0.181,0.211,0.268,0.195
t_12,0.256,0.269,0.299,0.313,0.291,0.365,0.198
t_13,0.224,0.24,0.254,0.274,0.246,0.297,0.183
t_14,0.148,0.177,0.204,0.218,0.216,0.225,0.148
t_15,0.076,0.077,0.065,0.103,0.102,0.106,0.1
t_16,0.036,0.043,0.037,0.046,0.047,0.049,0.032
t_17,0.007,0.004,0.007,0.009,0.008,0.008,0.008
t_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_33,0.021,0.022,0.024,0.029,0.032,0.03,0.05
t_34,0.115,0.145,0.122,0.094,0.173,0.153,0.263
t_35,0.191,0.223,0.158,0.131,0.205,0.199,0.31
t_36,0.197,0.185,0.102,0.14,0.18,0.127,0.368
t_37,0.188,0.156,0.159,0.157,0.181,0.166,0.32
t_38,0.14,0.107,0.115,0.169,0.143,0.145,0.244
t_39,0.089,0.082,0.074,0.093,0.107,0.086,0.117
t_40,0.05,0.048,0.034,0.047,0.048,0.045,0.049
t_41,0.009,0.009,0.009,0.009,0.008,0.008,0.011
t_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_57,0.009,0.009,0.007,0.014,0.017,0.014,0.007
t_58,0.035,0.028,0.026,0.03,0.043,0.031,0.041
t_59,0.053,0.084,0.106,0.039,0.051,0.034,0.039
t_60,0.148,0.082,0.035,0.073,0.07,0.097,0.036
t_61,0.061,0.035,0.038,0.02,0.041,0.022,0.031
t_62,0.057,0.062,0.074,0.052,0.065,0.042,0.053
t_63,0.059,0.094,0.076,0.051,0.057,0.034,0.03
t_64,0.036,0.053,0.029,0.024,0.045,0.033,0.041
t_65,0.012,0.011,0.006,0.007,0.009,0.008,0.011
t_66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_81,0.009,0.012,0.003,0.009,0.024,0.011,0.009
t_82,0.038,0.051,0.025,0.028,0.045,0.025,0.026
t_83,0.059,0.025,0.015,0.019,0.037,0.029,0.04
t_84,0.077,0.025,0.017,0.025,0.044,0.027,0.166
t_85,0.067,0.027,0.019,0.02,0.041,0.022,0.164
t_86,0.055,0.033,0.025,0.025,0.039,0.022,0.155
t_87,0.042,0.024,0.017,0.024,0.039,0.022,0.107
t_88,0.022,0.01,0.008,0.007,0.019,0.011,0.049
t_89,0.006,0.004,0.005,0.004,0.007,0.004,0.011
t_90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_105,0.033,0.049,0.049,0.07,0.058,0.052,0.041
t_106,0.135,0.233,0.222,0.252,0.225,0.236,0.18
