,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_9,0.014,0.019,0.022,0.012,0.0115,0.0155,0.014499999999999999
t_10,0.088,0.1225,0.136,0.152,0.083,0.14100000000000001,0.07
t_11,0.16649999999999998,0.156,0.1575,0.1435,0.164,0.1965,0.1535
t_12,0.2235,0.227,0.252,0.263,0.2505,0.298,0.1725
t_13,0.222,0.238,0.253,0.275,0.248,0.297,0.184
t_14,0.15999999999999998,0.201,0.2465,0.2805,0.276,0.2885,0.16899999999999998
t_15,0.0875,0.0885,0.079,0.20299999999999999,0.205,0.1815,0.15050000000000002
t_16,0.0385,0.0525,0.0455,0.08199999999999999,0.1015,0.089,0.038
t_17,0.007,0.0045000000000000005,0.015,0.022000000000000002,0.0205,0.016,0.0095
t_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_33,0.017,0.017,0.018000000000000002,0.021500000000000002,0.024,0.022,0.034
t_34,0.088,0.10099999999999999,0.0865,0.07050000000000001,0.119,0.107,0.1605
t_35,0.155,0.17,0.123,0.10450000000000001,0.1595,0.152,0.225
t_36,0.1825,0.16799999999999998,0.0935,0.128,0.16349999999999998,0.11699999999999999,0.3085
t_37,0.187,0.1555,0.158,0.157,0.182,0.166,0.3215
t_38,0.14450000000000002,0.112,0.128,0.2,0.16149999999999998,0.15899999999999997,0.312
t_39,0.093,0.089,0.08449999999999999,0.133,0.155,0.1125,0.23299999999999998
t_40,0.052500000000000005,0.059000000000000004,0.0455,0.075,0.07200000000000001,0.0615,0.1325
t_41,0.009,0.011,0.015,0.0225,0.0205,0.013,0.0165
t_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_57,0.008,0.008,0.006500000000000001,0.012,0.014,0.0125,0.007
t_58,0.035,0.028,0.026,0.028999999999999998,0.0385,0.031,0.0405
t_59,0.048,0.0685,0.0815,0.0375,0.049,0.0335,0.037000000000000005
t_60,0.1355,0.07500000000000001,0.0325,0.067,0.0665,0.088,0.035500000000000004
t_61,0.061,0.035,0.038,0.02,0.041,0.022,0.031
t_62,0.057,0.065,0.078,0.054,0.068,0.043,0.0545
t_63,0.06,0.1155,0.0935,0.0615,0.0625,0.036000000000000004,0.03
t_64,0.0375,0.069,0.0345,0.029,0.057999999999999996,0.037500000000000006,0.049
t_65,0.013000000000000001,0.013,0.006500000000000001,0.0085,0.011,0.0085,0.013
t_66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_81,0.008,0.0095,0.003,0.0075,0.0175,0.0095,0.009
t_82,0.036000000000000004,0.043,0.0235,0.026500000000000003,0.040999999999999995,0.025,0.025500000000000002
t_83,0.0545,0.0245,0.015,0.019,0.037,0.028,0.0385
t_84,0.076,0.025,0.017,0.025,0.044,0.027,0.14800000000000002
t_85,0.067,0.027,0.019,0.02,0.041,0.022,0.1645
t_86,0.055,0.033,0.025,0.025,0.0395,0.022,0.1925
t_87,0.042499999999999996,0.024,0.017,0.024,0.0405,0.022,0.184
t_88,0.022,0.01,0.008,0.007,0.0195,0.011,0.119
t_89,0.006500000000000001,0.004,0.005,0.0075,0.021,0.004,0.018000000000000002
t_90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
