,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_9,0.015,0.023,0.028,0.013,0.012,0.018,0.015
t_10,0.121,0.191,0.221,0.257,0.123,0.235,0.095
t_11,0.244,0.235,0.246,0.213,0.254,0.328,0.232
t_12,0.338,0.379,0.43,0.46,0.417,0.557,0.273
t_13,0.309,0.365,0.401,0.46,0.388,0.515,0.279
t_14,0.21,0.299,0.413,0.518,0.493,0.531,0.245
t_15,0.108,0.111,0.104,0.386,0.389,0.32,0.242
t_16,0.041,0.064,0.056,0.124,0.164,0.136,0.045
t_17,0.007,0.005,0.02,0.03,0.027,0.021,0.011
t_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_33,0.019,0.02,0.021,0.026,0.029,0.027,0.044
t_34,0.118,0.152,0.128,0.098,0.185,0.161,0.281
t_35,0.217,0.264,0.186,0.154,0.247,0.238,0.384
t_36,0.232,0.229,0.124,0.175,0.23,0.156,0.544
t_37,0.225,0.184,0.227,0.213,0.254,0.215,0.547
t_38,0.165,0.132,0.18,0.319,0.229,0.214,0.563
t_39,0.101,0.103,0.104,0.206,0.24,0.162,0.441
t_40,0.056,0.072,0.059,0.108,0.1,0.081,0.228
t_41,0.009,0.012,0.019,0.031,0.028,0.016,0.02
t_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_57,0.009,0.008,0.007,0.013,0.016,0.013,0.007
t_58,0.035,0.028,0.026,0.031,0.043,0.031,0.041
t_59,0.056,0.095,0.125,0.041,0.053,0.035,0.04
t_60,0.177,0.1,0.041,0.091,0.08,0.121,0.036
t_61,0.067,0.038,0.042,0.02,0.042,0.023,0.031
t_62,0.058,0.078,0.095,0.063,0.079,0.047,0.06
t_63,0.062,0.157,0.127,0.081,0.073,0.04,0.03
t_64,0.039,0.089,0.041,0.035,0.073,0.043,0.058
t_65,0.013,0.015,0.007,0.009,0.012,0.009,0.014
t_66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_81,0.009,0.011,0.003,0.008,0.022,0.01,0.009
t_82,0.038,0.052,0.025,0.028,0.046,0.025,0.026
t_83,0.061,0.025,0.015,0.019,0.037,0.03,0.041
t_84,0.079,0.025,0.017,0.025,0.045,0.027,0.218
t_85,0.068,0.027,0.019,0.02,0.042,0.022,0.248
t_86,0.056,0.033,0.025,0.025,0.041,0.022,0.333
t_87,0.043,0.024,0.017,0.024,0.043,0.022,0.323
t_88,0.022,0.01,0.008,0.007,0.021,0.011,0.2
t_89,0.007,0.004,0.005,0.009,0.029,0.004,0.023
t_90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_105,0.028,0.041,0.041,0.058,0.05,0.044,0.036
t_106,0.138,0.243,0.235,0.269,0.241,0.251,0.189
