,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_9,0.012,0.013,0.013,0.011,0.011,0.012,0.014
t_10,0.058,0.062,0.064,0.064,0.05,0.061,0.049
t_11,0.122,0.112,0.109,0.106,0.117,0.125,0.112
t_12,0.191,0.185,0.205,0.213,0.21,0.231,0.147
t_13,0.22,0.236,0.252,0.276,0.25,0.297,0.185
t_14,0.172,0.225,0.289,0.343,0.336,0.352,0.19
t_15,0.099,0.1,0.093,0.303,0.308,0.257,0.201
t_16,0.041,0.062,0.054,0.118,0.156,0.129,0.044
t_17,0.007,0.005,0.023,0.035,0.033,0.024,0.011
t_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_33,0.013,0.012,0.012,0.014,0.016,0.014,0.018
t_34,0.061,0.057,0.051,0.047,0.065,0.061,0.058
t_35,0.119,0.117,0.088,0.078,0.114,0.105,0.14
t_36,0.168,0.151,0.085,0.116,0.147,0.107,0.249
t_37,0.186,0.155,0.157,0.157,0.183,0.166,0.323
t_38,0.149,0.117,0.141,0.231,0.18,0.173,0.38
t_39,0.097,0.096,0.095,0.173,0.203,0.139,0.349
t_40,0.055,0.07,0.057,0.103,0.096,0.078,0.216
t_41,0.009,0.013,0.021,0.036,0.033,0.018,0.022
t_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_57,0.007,0.007,0.006,0.01,0.011,0.011,0.007
t_58,0.035,0.028,0.026,0.028,0.034,0.031,0.04
t_59,0.043,0.053,0.057,0.036,0.047,0.033,0.035
t_60,0.123,0.068,0.03,0.061,0.063,0.079,0.035
t_61,0.061,0.035,0.038,0.02,0.041,0.022,0.031
t_62,0.057,0.068,0.082,0.056,0.071,0.044,0.056
t_63,0.061,0.137,0.111,0.072,0.068,0.038,0.03
t_64,0.039,0.085,0.04,0.034,0.071,0.042,0.057
t_65,0.014,0.015,0.007,0.01,0.013,0.009,0.015
t_66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_81,0.007,0.007,0.003,0.006,0.011,0.008,0.009
t_82,0.034,0.035,0.022,0.025,0.037,0.025,0.025
t_83,0.05,0.024,0.015,0.019,0.037,0.027,0.037
t_84,0.075,0.025,0.017,0.025,0.044,0.027,0.13
t_85,0.067,0.027,0.019,0.02,0.041,0.022,0.165
t_86,0.055,0.033,0.025,0.025,0.04,0.022,0.23
t_87,0.043,0.024,0.017,0.024,0.042,0.022,0.261
t_88,0.022,0.01,0.008,0.007,0.02,0.011,0.189
t_89,0.007,0.004,0.005,0.011,0.035,0.004,0.025
t_90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_105,0.011,0.011,0.012,0.014,0.014,0.012,0.017
t_106,0.064,0.051,0.053,0.051,0.052,0.05,0.07
