 node , nodeline , fuel , DistributedEnergy_1995_capacity , DistributedEnergy_2008_capacity , DistributedEnergy_2009_capacity , GlobalAmbition_1995_capacity , GlobalAmbition_2008_capacity , GlobalAmbition_2009_capacity 
 AL00 , AL00 , Gas , 300 , 300 , 300 , 300 , 300 , 300 
 AL00 , AL00 , Hydro , 2’999 , 2’999 , 2’999 , 2’999 , 2’999 , 2’999 
 AL00 , AL00 , Solar , 1’650 , 1’650 , 1’650 , 1’650 , 1’650 , 1’650 
 AL00 , AL00 , Wind Onshore , 1’650 , 1’650 , 1’650 , 1’650 , 1’650 , 1’650 
 AT00 , AT00 , Gas , 1’176 , 1’176 , 1’176 ,,,
 AT00 , AT00 , Hydro , 16’712 , 16’712 , 16’712 , 16’712 , 16’712 , 16’712 
 AT00 , AT00 , Solar , 16’555 , 16’555 , 16’555 , 11’168 , 11’168 , 11’168 
 AT00 , AT00 , Wind Onshore , 12’320 , 12’320 , 12’320 , 12’320 , 12’320 , 12’320 
 AT00 , AT00 , Other Non RES , 957 , 957 , 957 , 957 , 957 , 957 
 AT00 , AT00 , Other RES , 586 , 586 , 586 , 586 , 586 , 586 
 AT00 , AT00H2R1 , Solar , 12’359 , 12’359 , 12’359 , 14’455 , 14’455 , 14’455 
 AT00 , AT00H2R1 , Wind Onshore , 12’987 , 12’987 , 12’987 , 9’851 , 9’851 , 9’851 
 AT00 , AT00RETE , Solar , 27’573 , 27’573 , 27’573 , 25’058 , 25’058 , 25’058 
 BA00 , BA00 , Hydro , 2’525 , 2’525 , 2’525 , 2’525 , 2’525 , 2’525 
 BA00 , BA00 , Solar , 3’239 , 3’239 , 3’239 , 3’067 , 3’067 , 3’067 
 BA00 , BA00 , Wind Onshore , 13’221 , 13’221 , 13’221 , 2’238 , 2’238 , 2’238 
 BE00 , BE00 , Gas , 22’680 , 22’680 , 22’680 , 7’856 , 7’856 , 7’856 
 BE00 , BE00 , Hydro , 1’375 , 1’375 , 1’375 , 1’375 , 1’375 , 1’375 
 BE00 , BE00 , Solar , 12’020 , 12’020 , 12’020 , 6’314 , 6’314 , 6’314 
 BE00 , BE00 , Wind Onshore , 5’308 , 5’308 , 5’308 , 5’308 , 5’308 , 5’308 
 BE00 , BE00 , Other Non RES , 642 , 642 , 642 , 642 , 642 , 642 
 BE00 , BE00 , Other RES , 904 , 904 , 904 , 904 , 904 , 904 
 BE00 , BE00 , Oil , 140 , 140 , 140 , 140 , 140 , 140 
 BE00 , BE00 , Wind Offshore , 6’863 , 6’863 , 6’863 , 6’200 , 6’200 , 6’200 
 BE00 , BE00H2R1 , Solar , 11’860 , 11’860 , 11’860 , 4’143 , 4’143 , 4’143 
 BE00 , BE00H2R1 , Wind Onshore , 5’132 , 5’132 , 5’132 , 3’760 , 3’760 , 3’760 
 BE00 , BE00RETE , Solar , 19’426 , 19’426 , 19’426 , 18’053 , 18’053 , 18’053 
 BG00 , BG00 , Gas , 3’967 , 3’967 , 3’967 , 1’671 , 1’671 , 1’671 
 BG00 , BG00 , Hydro , 3’216 , 3’216 , 3’216 , 3’216 , 3’216 , 3’216 
 BG00 , BG00 , Solar , 3’365 , 3’365 , 3’365 , 1’305 , 1’305 , 1’305 
 BG00 , BG00 , Wind Onshore , 834 , 834 , 834 , 834 , 834 , 834 
 BG00 , BG00 , Other RES , 309 , 309 , 309 , 309 , 309 , 309 
 BG00 , BG00 , Wind Offshore , 135 , 135 , 135 , 710 , 710 , 710 
 BG00 , BG00H2R1 , Solar , 15’097 , 15’097 , 15’097 , 5’699 , 5’699 , 5’699 
 BG00 , BG00H2R1 , Wind Onshore , 11’809 , 11’809 , 11’809 , 5’822 , 5’822 , 5’822 
 BG00 , BG00RETE , Solar , 8’496 , 8’496 , 8’496 , 6’359 , 6’359 , 6’359 
 CH00 , CH00 , Gas , 1’772 , 1’772 , 1’772 ,,,
 CH00 , CH00 , Hydro , 19’200 , 19’200 , 19’200 , 19’200 , 19’200 , 19’200 
 CH00 , CH00 , Solar , 3’635 , 3’635 , 3’635 ,,,
 CH00 , CH00 , Wind Onshore , 3’026 , 3’026 , 3’026 , 500 , 500 , 500 
 CH00 , CH00 , Other Non RES , 400 , 400 , 400 , 400 , 400 , 400 
 CH00 , CH00 , Other RES , 1’000 , 1’000 , 1’000 , 1’000 , 1’000 , 1’000 
 CH00 , CH00RETE , Solar , 6’250 , 6’250 , 6’250 ,,,
 CY00 , CY00 , Gas , 380 , 380 , 380 , 380 , 380 , 380 
 CY00 , CY00 , Solar , 3’237 , 3’237 , 3’237 , 2’328 , 2’328 , 2’328 
 CY00 , CY00 , Wind Onshore , 1’118 , 1’118 , 1’118 , 316 , 316 , 316 
 CY00 , CY00 , Other RES , 15 , 15 , 15 , 15 , 15 , 15 
 CY00 , CY00RETE , Solar , 82 , 82 , 82 , 57 , 57 , 57 
 CZ00 , CZ00 , Gas , 8’360 , 8’360 , 8’360 , 2’791 , 2’791 , 2’791 
 CZ00 , CZ00 , Hydro , 1’630 , 1’630 , 1’630 , 1’630 , 1’630 , 1’630 
 CZ00 , CZ00 , Solar , 9’974 , 9’974 , 9’974 , 4’182 , 4’182 , 4’182 
 CZ00 , CZ00 , Wind Onshore , 1’250 , 1’250 , 1’250 , 2’781 , 2’781 , 2’781 
 CZ00 , CZ00 , Other Non RES , 1’670 , 1’670 , 1’670 , 1’670 , 1’670 , 1’670 
 CZ00 , CZ00 , Other RES , 828 , 828 , 828 , 828 , 828 , 828 
 CZ00 , CZ00H2R1 , Solar , 18’386 , 18’386 , 18’386 , 12’543 , q , 12’543 
 CZ00 , CZ00H2R1 , Wind Onshore , 13’900 , 13’900 , 13’900 , 9’628 , 9’628 , 9’628 
 CZ00 , CZ00RETE , Solar , 5’624 , 5’624 , 5’624 , 3’019 , 3’019 , 3’019 
 DE00 , DE00 , Gas , 69’289 , 69’289 , 69’289 , 34’037 , 34’037 , 34’037 
 DE00 , DE00 , Hydro , 15’325 , 15’325 , 15’325 , 15’325 , 15’325 , 15’325 
 DE00 , DE00 , Solar , 88’136 , 88’136 , 88’136 , 70’695 , 70’695 , 70’695 
 DE00 , DE00 , Wind Onshore , 68’376 , 68’376 , 68’376 , 68’376 , 68’376 , 68’376 
