node,nodeline,fuel,DistributedEnergy_1995_generation,DistributedEnergy_2008_generation,DistributedEnergy_2009_generation,GlobalAmbition_1995_generation,GlobalAmbition_2008_generation,GlobalAmbition_2009_generation
AL00,AL00,Gas,602.9981655099999,458.96303219,588.43152846,762.89591918,695.85691864,729.58170296
AL00,AL00,Hydro,12597.96059153,12205.58451519,13257.33584547,12668.492502149998,12285.66067833,13298.32062115
AL00,AL00,Solar,2180.09093459,2179.82412994,2108.12015579,2200.10034053,2205.79318416,2143.13581531
AL00,AL00,Wind Onshore,4739.88600829,4813.93062603,4787.04954819,4764.36917857,4853.03848333,4838.98608121
AT00,AT00,Hydro,51082.27179621,49563.48416073,54073.797922130005,50434.07062194,48971.58939636,53042.99505847
AT00,AT00,Solar,19298.55192863,19345.84619719,19712.76162495,12826.28916164,13038.86884215,13196.23563571
AT00,AT00,Wind Onshore,36868.37439083,34610.64626182,33665.72063175,36606.56277826,34676.61450785,33486.42647301
AT00,AT00,Other Non RES,8330.685,8337.384,8334.513,8262.30226298,8339.84424981,8304.49457848
AT00,AT00,Other RES,3282.31111307,3285.21257427,3283.1406743,3249.42385033,3283.29798031,3266.71325199
AT00,AT00H2R1,Solar,11779.34726423,12579.39842045,12022.54693023,13951.06367057,14924.08706181,14531.2911579
AT00,AT00H2R1,Wind Onshore,35398.36294398,36278.17395981,33273.29977792,28591.30486499,27510.01056569,26485.73000139
AT00,AT00RETE,Solar,30100.57448106,30584.25949928,30736.82951391,26564.53723624,26868.9490129,27346.35860362
BA00,BA00,Hydro,4904.51166012,5285.81107985,5581.11467434,5223.1153011900005,5476.0450471,6128.83994306
BA00,BA00,Solar,3368.62702584,3531.42658383,3543.86955219,3930.7668475,4039.68384724,3924.12258339
BA00,BA00,Wind Onshore,30453.24510652,31969.27126193,30490.53721792,5931.4031102,5935.5932701,5664.31673605
BE00,BE00,Gas,22073.19593262,20811.14022471,25063.11282804,17707.3436747,16179.787344739998,19037.754048420004
BE00,BE00,Hydro,1167.75981286,1138.18227112,1085.35015744,1134.89671927,1097.11695095,986.54542082
BE00,BE00,Solar,13051.7265818,12520.38090494,12808.17836147,6817.86777891,6542.79111386,6716.25191954
BE00,BE00,Wind Onshore,14941.17965778,15202.76154587,14455.33170883,14951.44145025,15133.24186374,14479.33128675
