node,nodeline,fuel,capacity
AL00,AL00,Gas,300
AL00,AL00,Hydro,2998.75708008
AL00,AL00,Solar,1650
AL00,AL00,Wind Onshore,1650
AT00,AT00,Gas,1176
AT00,AT00,Hydro,16712.10410156
AT00,AT00,Solar,16554.85
AT00,AT00,Wind Onshore,12320
AT00,AT00,Other Non RES,957
AT00,AT00,Other RES,585.9200000000001
AT00,AT00H2R1,Solar,12358.57
AT00,AT00H2R1,Wind Onshore,12986.9
AT00,AT00RETE,Solar,27572.949999999997
AT00,AT00H2C5,Solar_stand alone,261
BA00,BA00,Hydro,2524.5000305099998
BA00,BA00,Solar,3239
BA00,BA00,Wind Onshore,13221.06
BE00,BE00,Gas,22679.564459999998
BE00,BE00,Hydro,1375.0019989
BE00,BE00,Solar,12020
BE00,BE00,Wind Onshore,5307.610000000001
BE00,BE00,Other Non RES,641.9017258
BE00,BE00,Other RES,903.6
BE00,BE00,Oil,140
BE00,BE00,Wind Offshore,6862.67
BE00,BE00H2R1,Solar,11859.69
BE00,BE00H2R1,Wind Onshore,5132.389999999999
BE00,BE00RETE,Solar,19425.74
BE00,BE00H2C5,Solar_stand alone,3556
BG00,BG00,Gas,3967
BG00,BG00,Hydro,3215.8100586
BG00,BG00,Solar,3364.5
BG00,BG00,Wind Onshore,834.24
BG00,BG00,Other RES,309
BG00,BG00,Wind Offshore,134.8420938
BG00,BG00H2R1,Solar,15096.6
BG00,BG00H2R1,Wind Onshore,11809.41
BG00,BG00RETE,Solar,8495.97
BG00,BG00H2C5,Solar_stand alone,496
CH00,CH00,Gas,1771.963429
CH00,CH00,Hydro,19200
CH00,CH00,Solar,3634.67
CH00,CH00,Wind Onshore,3026
CH00,CH00,Other Non RES,400
CH00,CH00,Other RES,1000
CH00,CH00RETE,Solar,6250
CY00,CY00,Gas,380
CY00,CY00,Solar,3237.21
CY00,CY00,Wind Onshore,1117.5
CY00,CY00,Other RES,15
CY00,CY00RETE,Solar,82.08
CY00,CY00H2C5,Onshore Wind_stand alone,0
CY00,CY00H2C5,Solar_stand alone,76
CZ00,CZ00,Gas,8360.089606
CZ00,CZ00,Hydro,1629.6799850400002
CZ00,CZ00,Solar,9973.77
CZ00,CZ00,Wind Onshore,1249.71
CZ00,CZ00,Other Non RES,1670
CZ00,CZ00,Other RES,828.35
CZ00,CZ00H2R1,Solar,18385.69
CZ00,CZ00H2R1,Wind Onshore,13900.240000000002
CZ00,CZ00RETE,Solar,5623.67
CZ00,CZ00H2C5,Solar_stand alone,2077
DE00,DE00,Gas,69289.10699779
DE00,DE00,Hydro,15324.539916999998
DE00,DE00,Solar,88135.52
DE00,DE00,Wind Onshore,68376
DE00,DE00,Other Non RES,8565
DE00,DE00,Other RES,8657.2
DE00,DE00,Oil,143.81
DE00,DE00,Wind Offshore,52199.26201
DE00,DE00H2R1,Solar,32499.3
DE00,DE00H2R1,Wind Onshore,77634.81000000001
DE00,DE00H2R4,Solar,5735.17
DE00,DE00H2R4,Wind Onshore,5563.849999999999
DE00,DE00H2R4,Wind Offshore,11034.730000000001
DE00,DE00RETE,Solar,180079
DE00,DE00H2C5,Solar_stand alone,22967
DKE1,DKE1,Gas,2051.55009202
DKE1,DKE1,Solar,4005.38
DKE1,DKE1,Wind Onshore,2650.1099999999997
DKE1,DKE1,Other Non RES,17.60146737
DKE1,DKE1,Other RES,356.40999999999997
DKE1,DKE1,Oil,62.32
DKE1,DKE1,Wind Offshore,6452.922868
DKE1,DKE1H2R1,Solar,6742.88
DKE1,DKE1H2R1,Wind Onshore,787.24
DKE1,DKE1H2R4,Solar,1778.94
DKE1,DKE1H2R4,Wind Onshore,816.4000000000001
DKE1,DKE1H2R4,Wind Offshore,270.52
DKE1,DKE1RETE,Solar,4278.91
DKE1,DKE1H2C5,Solar_stand alone,1927
DKE1,DKE1H2C5,Offshore Wind_stand alone,44
DKKF,DKKF,Wind Offshore,605
DKW1,DKW1,Gas,4129.87157
DKW1,DKW1,Solar,6837.77
DKW1,DKW1,Wind Onshore,4068.05
DKW1,DKW1,Other Non RES,29.19055009
DKW1,DKW1,Other RES,445.26419087
DKW1,DKW1,Oil,209.1
DKW1,DKW1,Wind Offshore,15925.08
DKW1,DKW1H2R1,Solar,5316.9
DKW1,DKW1H2R1,Wind Onshore,2204.54
DKW1,DKW1H2R4,Solar,8683.22
DKW1,DKW1H2R4,Wind Onshore,290.88
DKW1,DKW1H2R4,Wind Offshore,11059.08
DKW1,DKW1RETE,Solar,7029.63
EE00,EE00,Gas,419.3234746
EE00,EE00,Solar,1104
EE00,EE00,Wind Onshore,1902
EE00,EE00,Other Non RES,155
EE00,EE00,Other RES,285.65
EE00,EE00,Oil,137
EE00,EE00,Wind Offshore,967.1908895
EE00,EE00H2R1,Solar,543.49
EE00,EE00H2R1,Wind Onshore,2791.99
EE00,EE00RETE,Solar,674.51
EE00,EE00H2C5,Onshore Wind_stand alone,47
EE00,EE00H2C5,Solar_stand alone,192
ES00,ES00,Gas,24875.56
ES00,ES00,Hydro,24161.91918945
ES00,ES00,Solar,71801.76999999999
ES00,ES00,Wind Onshore,49251.93
ES00,ES00,Other Non RES,3980
ES00,ES00,Other RES,1730
ES00,ES00,Wind Offshore,3552.115579
ES00,ES00H2R1,Solar,64593.1
ES00,ES00H2R1,Wind Onshore,59324.97
ES00,ES00HER4,Solar,9057.26
ES00,ES00HER4,Wind Onshore,5209.17
ES00,ES00RETE,Solar,66588.47
ES00,ES00H2C5,Onshore Wind_stand alone,2162
FI00,FI00,Gas,131.61183229
FI00,FI00,Hydro,3236.60791016
FI00,FI00,Solar,5748
FI00,FI00,Wind Onshore,15743.970000000001
FI00,FI00,Other Non RES,34.29999924
FI00,FI00,Other RES,3379.42
FI00,FI00,Wind Offshore,7482.404098
FI00,FI00,Nuclear,1600
FI00,FI00H2R1,Wind Onshore,37779.91
FI00,FI00H2R4,Solar,1631.44
FI00,FI00H2R4,Wind Onshore,15639.12
FI00,FI00RETE,Solar,11494.33
FI00,FI00H2C5,Solar_stand alone,2107
FI00,FI00H2C5,Offshore Wind_stand alone,414
FR00,FR00,Gas,43857.8943701
FR00,FR00,Hydro,28290.13720703
FR00,FR00,Solar,46423.89
FR00,FR00,Wind Onshore,40801.53
FR00,FR00,Other Non RES,820.5
FR00,FR00,Other RES,2550
FR00,FR00,Wind Offshore,43446.209370000004
FR00,FR00,Nuclear,15209.000004
FR00,FR00H2R1,Solar,50150.69
FR00,FR00H2R1,Wind Onshore,74770.97
FR00,FR00H2R4,Solar,13789.5199997
FR00,FR00H2R4,Wind Onshore,3223.4066663
FR00,FR00H2R4,Wind Offshore,5705.5533333
FR00,FR00HER4,Solar,1841.68
FR00,FR00HER4,Wind Onshore,488.11
FR00,FR00HER4,Wind Offshore,715.59
FR00,FR00RETE,Solar,111624.43
FR00,FR15,Hydro,196
FR00,FR15,Solar,743.83
FR00,FR15,Wind Onshore,156
FR00,FR15,Other RES,36
FR00,FR00H2C5,Offshore Wind_stand alone,2502
GR00,GR00,Gas,8388.4926442
GR00,GR00,Hydro,4592.677917479999
GR00,GR00,Solar,8004.45
GR00,GR00,Wind Onshore,7362.74
GR00,GR00,Other RES,1028.1
GR00,GR00,Wind Offshore,2083.724659
GR00,GR00H2R1,Solar,20124.149999999998
GR00,GR00H2R1,Wind Onshore,12659.720000000001
GR00,GR00RETE,Solar,18527.63
GR00,GR00H2C5,Solar_stand alone,1150
GR03,GR03,Solar,833
GR03,GR03,Wind Onshore,7969.740000000001
GR03,GR03,Oil,98
HR00,HR00,Gas,1496.737633
HR00,HR00,Hydro,2647.57003784
HR00,HR00,Solar,2524.16
HR00,HR00,Wind Onshore,2447.2799999999997
HR00,HR00,Other Non RES,200
HR00,HR00,Other RES,400
HR00,HR00H2R1,Solar,3268.17
HR00,HR00H2R1,Wind Onshore,7856.17
