node,nodeline,fuel,capacity
AL00,AL00,Gas,300
AL00,AL00,Hydro,2998.75708008
AL00,AL00,Solar,1650
AL00,AL00,Wind Onshore,1650
AT00,AT00,Hydro,16712.10410156
AT00,AT00,Solar,11168.39
AT00,AT00,Wind Onshore,12320
AT00,AT00,Other Non RES,957
AT00,AT00,Other RES,585.9200000000001
AT00,AT00H2R1,Solar,14454.61
AT00,AT00H2R1,Wind Onshore,9851.05
AT00,AT00RETE,Solar,25057.64
BA00,BA00,Hydro,2524.5000305099998
BA00,BA00,Solar,3066.59
BA00,BA00,Wind Onshore,2238.41
BE00,BE00,Gas,7856.3
BE00,BE00,Hydro,1375.0019989
BE00,BE00,Solar,6314
BE00,BE00,Wind Onshore,5307.610000000001
BE00,BE00,Other Non RES,641.9017258
BE00,BE00,Other RES,903.6
BE00,BE00,Oil,140
BE00,BE00,Wind Offshore,6200.08
BE00,BE00H2R1,Solar,4143.3
BE00,BE00H2R1,Wind Onshore,3759.89
BE00,BE00H2R4,Solar,35.59
BE00,BE00H2R4,Wind Offshore,95
BE00,BE00HER4,Solar,142.37
BE00,BE00HER4,Wind Offshore,380
BE00,BE00RETE,Solar,18053.35
BG00,BG00,Gas,1671
BG00,BG00,Hydro,3215.8100586
BG00,BG00,Solar,1305.15
BG00,BG00,Wind Onshore,834.24
BG00,BG00,Other RES,309
BG00,BG00,Wind Offshore,709.8
BG00,BG00,Nuclear,2000
BG00,BG00H2R1,Solar,5698.85
BG00,BG00H2R1,Wind Onshore,5821.76
BG00,BG00RETE,Solar,6359.16
CH00,CH00,Hydro,19200
CH00,CH00,Wind Onshore,500
CH00,CH00,Other Non RES,400
CH00,CH00,Other RES,1000
CY00,CY00,Gas,380
CY00,CY00,Solar,2328.06
CY00,CY00,Wind Onshore,315.65
CY00,CY00,Other RES,15
CY00,CY00RETE,Solar,57.45
CZ00,CZ00,Gas,2791.2
CZ00,CZ00,Hydro,1629.6799850400002
CZ00,CZ00,Solar,4181.64
CZ00,CZ00,Wind Onshore,2781.3
CZ00,CZ00,Other Non RES,1670
CZ00,CZ00,Other RES,828.35
CZ00,CZ00,Nuclear,3277.599999
CZ00,CZ00H2R1,Solar,12543.28
CZ00,CZ00H2R1,Wind Onshore,9628.46
CZ00,CZ00RETE,Solar,3019
DE00,DE00,Gas,34037.10699779
DE00,DE00,Hydro,15324.539916999998
DE00,DE00,Solar,70694.87
DE00,DE00,Wind Onshore,68376
DE00,DE00,Other Non RES,8565
DE00,DE00,Other RES,8657.2
DE00,DE00,Oil,143.81
DE00,DE00,Wind Offshore,63692.74
DE00,DE00H2R1,Wind Onshore,60588.22
DE00,DE00H2R4,Wind Onshore,1227.59
DE00,DE00H2R4,Wind Offshore,3375.7299999999996
DE00,DE00HER4,Wind Onshore,890.98
DE00,DE00HER4,Wind Offshore,2932.27
DE00,DE00RETE,Solar,84000
DKE1,DKE1,Gas,156.54000002
DKE1,DKE1,Solar,1708.92
DKE1,DKE1,Wind Onshore,2050.11
DKE1,DKE1,Other Non RES,17.60146737
DKE1,DKE1,Other RES,356.40999999999997
DKE1,DKE1,Oil,62.32
DKE1,DKE1,Wind Offshore,6555.44
DKE1,DKE1H2R1,Solar,462.71
DKE1,DKE1H2R1,Wind Onshore,756.7
DKE1,DKE1H2R4,Wind Offshore,1660.86
DKE1,DKE1HER4,Wind Offshore,1035.44
DKE1,DKE1RETE,Solar,2388.84
DKW1,DKW1,Gas,340.54
DKW1,DKW1,Solar,2807.52
DKW1,DKW1,Wind Onshore,3368.05
DKW1,DKW1,Other Non RES,29.19055009
DKW1,DKW1,Other RES,445.26419087
DKW1,DKW1,Oil,209.1
DKW1,DKW1,Wind Offshore,23052.440000000002
DKW1,DKW1H2R1,Solar,760.17
DKW1,DKW1H2R1,Wind Onshore,933.08
DKW1,DKW1H2R4,Wind Onshore,124.31
DKW1,DKW1H2R4,Wind Offshore,2262
DKW1,DKW1HER4,Wind Onshore,185.75
DKW1,DKW1HER4,Wind Offshore,2054.3
DKW1,DKW1RETE,Solar,4323.36
EE00,EE00,Solar,345.35
EE00,EE00,Wind Onshore,737.44
EE00,EE00,Other Non RES,155
EE00,EE00,Other RES,285.65
EE00,EE00,Oil,137
EE00,EE00,Wind Offshore,1328.75
EE00,EE00RETE,Solar,476.24
ES00,ES00,Gas,24498.56
ES00,ES00,Hydro,24161.91918945
ES00,ES00,Solar,52451.24
ES00,ES00,Wind Onshore,43890
ES00,ES00,Other Non RES,3980
ES00,ES00,Other RES,1730
ES00,ES00,Wind Offshore,12635.470000000001
ES00,ES00H2R1,Solar,64098.37
ES00,ES00H2R1,Wind Onshore,19671.08
ES00,ES00H2R4,Solar,7185.98
ES00,ES00H2R4,Wind Onshore,1931.02
ES00,ES00H2R4,Wind Offshore,1514.8100000000002
ES00,ES00HER4,Solar,12864.41
ES00,ES00HER4,Wind Onshore,3436.84
ES00,ES00HER4,Wind Offshore,2712.22
ES00,ES00RETE,Solar,29713.45
FI00,FI00,Gas,87
FI00,FI00,Hydro,3236.60791016
FI00,FI00,Solar,1087.28
FI00,FI00,Wind Onshore,15523.970000000001
FI00,FI00,Other Non RES,34.29999924
FI00,FI00,Other RES,3379.42
FI00,FI00,Wind Offshore,5507.7
FI00,FI00,Nuclear,5593.9999998
FI00,FI00H2R1,Wind Onshore,15561.91
FI00,FI00H2R4,Wind Onshore,5929.51
FI00,FI00HER4,Wind Onshore,1364.3
FI00,FI00RETE,Solar,3458
FR00,FR00,Gas,4687.0000001
FR00,FR00,Hydro,28290.13720703
FR00,FR00,Solar,25496.72
FR00,FR00,Wind Onshore,40801.53
FR00,FR00,Other Non RES,820.5
FR00,FR00,Other RES,2550
FR00,FR00,Wind Offshore,49612.71
FR00,FR00,Nuclear,51606
FR00,FR00H2R1,Solar,67856.16
FR00,FR00H2R1,Wind Onshore,44610.47
FR00,FR00HER4,Solar,18675.12
FR00,FR00HER4,Wind Offshore,16586.69
FR00,FR00RETE,Solar,84200
FR00,FR15,Hydro,196
FR00,FR15,Solar,744.43
FR00,FR15,Wind Onshore,156
FR00,FR15,Other RES,36
GR00,GR00,Gas,5569.3000002
GR00,GR00,Hydro,4592.677917479999
GR00,GR00,Solar,3503.12
GR00,GR00,Wind Onshore,7362.74
GR00,GR00,Other RES,1028.1
GR00,GR00,Wind Offshore,4672.41
GR00,GR00H2R1,Solar,15148.39
GR00,GR00H2R1,Wind Onshore,6084.16
GR00,GR00RETE,Solar,16379.24
GR03,GR03,Solar,775.9
GR03,GR03,Wind Onshore,7034.33
GR03,GR03,Oil,98
GR03,GR03,Wind Offshore,110.55000000000001
HR00,HR00,Hydro,2647.57003784
HR00,HR00,Solar,1046.9099999999999
HR00,HR00,Wind Onshore,2447.2799999999997
HR00,HR00,Other Non RES,200
HR00,HR00,Other RES,400
HR00,HR00H2R1,Solar,480.09
HR00,HR00H2R1,Wind Onshore,52.72
HR00,HR00RETE,Solar,751
HU00,HU00,Gas,500
HU00,HU00,Hydro,55
HU00,HU00,Solar,6019.34
HU00,HU00,Wind Onshore,325.8
HU00,HU00,Other Non RES,606.3374462
HU00,HU00,Other RES,991.77
HU00,HU00,Nuclear,2360
HU00,HU00H2R1,Solar,12125.66
HU00,HU00H2R1,Wind Onshore,2713.12
HU00,HU00RETE,Solar,6268.24
IE00,IE00,Gas,4109
IE00,IE00,Hydro,508
IE00,IE00,Solar,702.35
IE00,IE00,Wind Onshore,4300
IE00,IE00,Other Non RES,67.4964624
IE00,IE00,Other RES,154
IE00,IE00,Oil,324
IE00,IE00,Wind Offshore,8470.54
IE00,IE00H2R1,Solar,332.48
IE00,IE00H2R1,Wind Onshore,3727.33
IE00,IE00H2R4,Wind Onshore,243.05
IE00,IE00H2R4,Wind Offshore,812.49
IE00,IE00HER4,Wind Onshore,131.88
