node,nodeline,fuel,generation
AL00,AL00,Gas,602.9981655099999
AL00,AL00,Hydro,12597.96059153
AL00,AL00,Solar,2180.09093459
AL00,AL00,Wind Onshore,4739.88600829
AT00,AT00,Hydro,51082.27179621
AT00,AT00,Solar,19298.55192863
AT00,AT00,Wind Onshore,36868.37439083
AT00,AT00,Other Non RES,8330.685
AT00,AT00,Other RES,3282.31111307
AT00,AT00H2R1,Solar,11779.34726423
AT00,AT00H2R1,Wind Onshore,35398.36294398
AT00,AT00RETE,Solar,30100.57448106
BA00,BA00,Hydro,4904.51166012
BA00,BA00,Solar,3368.62702584
BA00,BA00,Wind Onshore,30453.24510652
BE00,BE00,Gas,22073.195932619998
BE00,BE00,Hydro,1167.75981286
BE00,BE00,Solar,13051.7265818
BE00,BE00,Wind Onshore,14941.17965778
BE00,BE00,Other Non RES,1683.53894214
BE00,BE00,Other RES,2246.3100192300003
BE00,BE00,Wind Offshore,29867.795882090002
BE00,BE00,Biofuels,1296.49265751
BE00,BE00H2R1,Solar,9619.06420567
BE00,BE00H2R1,Wind Onshore,16016.485827569999
BE00,BE00RETE,Solar,21087.04463575
BG00,BG00,Gas,3425.8196523499996
BG00,BG00,Hydro,6362.360380980001
BG00,BG00,Solar,4626.13118711
BG00,BG00,Wind Onshore,1766.29637246
BG00,BG00,Other RES,1187.74787482
BG00,BG00,Wind Offshore,377.29142628
BG00,BG00H2R1,Solar,16644.83738992
BG00,BG00H2R1,Wind Onshore,29226.28954192
BG00,BG00RETE,Solar,10884.81382297
CH00,CH00,Gas,83.28306536
CH00,CH00,Hydro,39383.02174989
CH00,CH00,Solar,4384.84895736
CH00,CH00,Wind Onshore,6339.8705351
CH00,CH00,Other Non RES,997.25274701
CH00,CH00,Other RES,8712
CH00,CH00RETE,Solar,7539.9708869
CY00,CY00,Gas,834.4383298
CY00,CY00,Solar,4161.34529403
CY00,CY00,Wind Onshore,1727.2582214
CY00,CY00,Other RES,51.72389077
CY00,CY00RETE,Solar,125.76188666
CZ00,CZ00,Gas,9328.899118199999
CZ00,CZ00,Hydro,3259.4230087
CZ00,CZ00,Solar,10775.96278513
CZ00,CZ00,Wind Onshore,3921.39854818
CZ00,CZ00,Other Non RES,5510.65231995
CZ00,CZ00,Other RES,4340.40188473
CZ00,CZ00H2R1,Solar,16632.59319087
CZ00,CZ00H2R1,Wind Onshore,41708.1038326
CZ00,CZ00RETE,Solar,6075.983167439999
DE00,DE00,Gas,63527.952683340016
DE00,DE00,Hydro,33667.98504078
DE00,DE00,Solar,77144.45686686
DE00,DE00,Wind Onshore,162981.87693192
DE00,DE00,Other Non RES,44284.42053289
DE00,DE00,Other RES,50057.77055864
DE00,DE00,Wind Offshore,236439.59368124
DE00,DE00H2R1,Solar,22693.4203529
DE00,DE00H2R1,Wind Onshore,218201.26643954002
DE00,DE00H2R4,Solar,4490.31486248
DE00,DE00H2R4,Wind Onshore,16250.45452322
DE00,DE00H2R4,Wind Offshore,47233.26918939
DE00,DE00RETE,Solar,154226.03117183
DKE1,DKE1,Gas,328.68801337
DKE1,DKE1,Solar,4129.14991063
DKE1,DKE1,Wind Onshore,8709.15489909
DKE1,DKE1,Other Non RES,43.15602145
DKE1,DKE1,Other RES,62.59371367
DKE1,DKE1,Wind Offshore,25563.78940978
DKE1,DKE1,Biofuels,1102.70241626
DKE1,DKE1H2R1,Solar,2992.65432163
DKE1,DKE1H2R1,Wind Onshore,1766.84372595
DKE1,DKE1H2R4,Solar,1779.69523298
DKE1,DKE1H2R4,Wind Onshore,2701.41619559
DKE1,DKE1H2R4,Wind Offshore,920.85074898
DKE1,DKE1RETE,Solar,4296.429100460001
DKKF,DKKF,Wind Offshore,1581.48496735
DKW1,DKW1,Gas,328.24496607
DKW1,DKW1,Solar,6216.55533267
DKW1,DKW1,Wind Onshore,7802.602730160001
DKW1,DKW1,Other Non RES,105.36533417
DKW1,DKW1,Other RES,356.17345810999996
DKW1,DKW1,Wind Offshore,74444.89379848
DKW1,DKW1,Biofuels,827.1710233000001
DKW1,DKW1H2R1,Solar,3652.76998084
DKW1,DKW1H2R1,Wind Onshore,4156.92824012
DKW1,DKW1H2R4,Solar,6876.617136
DKW1,DKW1H2R4,Wind Onshore,453.73603252
DKW1,DKW1H2R4,Wind Offshore,51755.66392435
DKW1,DKW1RETE,Solar,6816.1537931600005
EE00,EE00,Solar,1059.24317013
EE00,EE00,Wind Onshore,4971.27169747
EE00,EE00,Other Non RES,1310.64006783
EE00,EE00,Other RES,1035.34418628
EE00,EE00,Wind Offshore,4374.67319465
EE00,EE00,Biofuels,175.37191326
EE00,EE00H2R1,Solar,365.38051079
EE00,EE00H2R1,Wind Onshore,3134.38573029
EE00,EE00RETE,Solar,628.96313039
ES00,ES00,Gas,26262.79630449
ES00,ES00,Hydro,38906.13112453
ES00,ES00,Solar,117656.55509122
ES00,ES00,Wind Onshore,125513.42066797
ES00,ES00,Other Non RES,18708.72744996
ES00,ES00,Other RES,7575.56892273
ES00,ES00,Wind Offshore,16701.51018942
ES00,ES00H2R1,Solar,53940.26666106
ES00,ES00H2R1,Wind Onshore,129599.24299819
ES00,ES00HER4,Solar,9832.42767463
ES00,ES00HER4,Wind Onshore,13552.74189088
ES00,ES00RETE,Solar,101999.49325541
FI00,FI00,Gas,4.80705807
FI00,FI00,Hydro,13738.64737284
FI00,FI00,Solar,5319.20160601
FI00,FI00,Wind Onshore,61707.62917906
FI00,FI00,Other Non RES,95.94405796
FI00,FI00,Other RES,11372.73727574
FI00,FI00,Wind Offshore,30478.35043494
FI00,FI00,Biofuels,1005.27043953
FI00,FI00,Nuclear,4251.85303379
FI00,FI00H2R1,Wind Onshore,80723.87070636
FI00,FI00H2R4,Solar,1226.15969159
FI00,FI00H2R4,Wind Onshore,53537.37216642
FI00,FI00RETE,Solar,10594.21318339
FR00,FR00,Gas,13239.28171684
FR00,FR00,Hydro,76679.46178598
FR00,FR00,Solar,60011.45044276
FR00,FR00,Wind Onshore,112621.79196547
FR00,FR00,Other Non RES,4272.956208
FR00,FR00,Other RES,11690.53533997
FR00,FR00,Wind Offshore,181604.43591937
FR00,FR00,Nuclear,81584.49218617
FR00,FR00H2R1,Solar,50538.27781656
FR00,FR00H2R1,Wind Onshore,191251.82604455
FR00,FR00H2R4,Solar,14182.520032209999
FR00,FR00H2R4,Wind Onshore,8112.28291281
FR00,FR00H2R4,Wind Offshore,21592.238577689997
FR00,FR00HER4,Solar,2160.97281839
FR00,FR00HER4,Wind Onshore,1296.77045185
FR00,FR00HER4,Wind Offshore,2597.0237308
FR00,FR00RETE,Solar,132442.09411524
FR00,FR15,Hydro,213.37601883
FR00,FR15,Solar,247.14352424
FR00,FR15,Wind Onshore,114.84990452
FR00,FR15,Other RES,31.59472548
GR00,GR00,Gas,15055.24594926
GR00,GR00,Hydro,7934.7112464
GR00,GR00,Solar,10940.73894169
GR00,GR00,Wind Onshore,17493.82098752
GR00,GR00,Other RES,5027.09205878
GR00,GR00,Wind Offshore,7653.44215981
GR00,GR00H2R1,Solar,21575.73369519
GR00,GR00H2R1,Wind Onshore,22878.38714625
GR00,GR00RETE,Solar,23650.91399668
GR03,GR03,Solar,628.92377761
GR03,GR03,Wind Onshore,18993.96862226
HR00,HR00,Gas,16.38641352
HR00,HR00,Hydro,8169.511101319999
HR00,HR00,Solar,3167.26640332
HR00,HR00,Wind Onshore,6398.49822513
HR00,HR00,Other Non RES,1742.4
HR00,HR00,Other RES,2787.84
HR00,HR00H2R1,Solar,3230.0982672299997
HR00,HR00H2R1,Wind Onshore,19981.195476830002
HR00,HR00RETE,Solar,2367.32453735
HU00,HU00,Gas,1916.62399226
HU00,HU00,Hydro,215.35884615
HU00,HU00,Solar,13931.70363206
HU00,HU00,Wind Onshore,697.57147014
HU00,HU00,Other Non RES,961.95872525
HU00,HU00,Other RES,2666.24113024
HU00,HU00H2R1,Solar,11158.71726058
HU00,HU00H2R1,Wind Onshore,49807.20002453
HU00,HU00RETE,Solar,11467.21795643
IE00,IE00,Gas,4099.84780582
IE00,IE00,Hydro,592.41192473
IE00,IE00,Solar,626.95080065
IE00,IE00,Wind Onshore,3435.99413062
IE00,IE00,Other Non RES,168.02177135
IE00,IE00,Other RES,448.47318005
IE00,IE00,Wind Offshore,86433.69864138
IE00,IE00,Biofuels,70.153947
IE00,IE00H2R1,Solar,381.83118530999997
IE00,IE00H2R1,Wind Onshore,6647.48602923
IE00,IE00H2R4,Solar,1003.03734523
IE00,IE00H2R4,Wind Onshore,11931.999990389999
IE00,IE00H2R4,Wind Offshore,9893.687003660001
IE00,IE00RETE,Solar,999.41030521
IT00,IT00,Gas,97923.27513772997
IT00,IT00,Hydro,54836.18745720001
IT00,IT00,Solar,69209.23124553
IT00,IT00,Wind Onshore,34768.59125958
IT00,IT00,Other Non RES,13292.32532196
IT00,IT00,Other RES,22724.75878877
IT00,IT00,Wind Offshore,32540.25848712
IT00,IT00H2R1,Solar,74076.65107888
IT00,IT00H2R1,Wind Onshore,33367.71984799999
IT00,IT00HER4,Solar,4794.582245959999
IT00,IT00HER4,Wind Onshore,3360.47408684
IT00,IT00HER4,Wind Offshore,2899.80289136
IT00,IT00RETE,Solar,116003.36412177999
LT00,LT00,Gas,52.36864519
LT00,LT00,Hydro,1353.5391186699999
LT00,LT00,Solar,1473.97142519
LT00,LT00,Wind Onshore,6591.71232093
LT00,LT00,Other Non RES,1149.40858652
LT00,LT00,Other RES,1807.5348323099997
LT00,LT00,Wind Offshore,7374.6102291
LT00,LT00H2R1,Solar,519.01130716
LT00,LT00H2R1,Wind Onshore,7626.469746809999
LT00,LT00RETE,Solar,1197.7190815
LUG1,LUG1,Gas,160.06963788
LUG1,LUG1,Hydro,117.50505537
LUG1,LUG1,Solar,2256.79405585
LUG1,LUG1,Wind Onshore,1361.8390937099998
LUG1,LUG1,Other Non RES,826.97399843
LUG1,LUG1,Other RES,648.7261916599999
LUG1,LUG1RETE,Solar,692.00867034
LUV1,LUV1,Hydro,428.58957509
LV00,LV00,Gas,72.41876267
LV00,LV00,Hydro,2684.87727619
LV00,LV00,Solar,717.44945733
LV00,LV00,Wind Onshore,831.76969763
LV00,LV00,Other RES,2580.82272414
LV00,LV00,Wind Offshore,5474.65830354
LV00,LV00H2R1,Solar,566.67046954
LV00,LV00H2R1,Wind Onshore,2469.13703359
LV00,LV00RETE,Solar,219.20962951
ME00,ME00,Hydro,3188.5925813900003
ME00,ME00,Solar,6373.4883204200005
ME00,ME00,Wind Onshore,2359.27941675
ME00,ME00,Other RES,394.43265844
MK00,MK00,Hydro,3294.6776459
MK00,MK00,Solar,13918.09117562
MK00,MK00,Wind Onshore,552.34630536
MK00,MK00,Other RES,209.45927324
MK00,MK00RETE,Solar,55.95393325
MT00,MT00,Gas,1442.56497186
MT00,MT00,Solar,981.78901262
MT00,MT00,Wind Onshore,2073.7363555
MT00,MT00,Wind Offshore,339.04759675
MT00,MT00RETE,Solar,329.35093387
NL00,NL00,Gas,70884.61214109001
NL00,NL00,Hydro,99.79360963
NL00,NL00,Solar,44972.08589211
NL00,NL00,Wind Onshore,21608.21000868
NL00,NL00,Other Non RES,1427.91703923
NL00,NL00,Other RES,1850.87599956
NL00,NL00,Wind Offshore,260397.21711521
NL00,NL00H2R1,Solar,12718.43886649
NL00,NL00H2R1,Wind Onshore,14989.412649229998
NL00,NL00H2R4,Solar,967.56858018
NL00,NL00H2R4,Wind Offshore,8171.40055968
NL00,NL00RETE,Solar,51346.29764078
NOM1,NOM1,Hydro,20628.35578967
NOM1,NOM1,Solar,73.23605998
NOM1,NOM1,Wind Onshore,16354.21260929
NOM1,NOM1,Other Non RES,163.18081999
NON1,NON1,Hydro,22130.38718392
NON1,NON1,Wind Onshore,18500.44416062
NON1,NON1,Other Non RES,1479.41955736
NON1,NON1,Other RES,0.22119
NOS0,NOS0,Hydro,102315.36956878
NOS0,NOS0,Solar,46.32500322
NOS0,NOS0,Wind Onshore,25593.61296407
NOS0,NOS0,Other Non RES,428.57344592
NOS0,NOS0,Wind Offshore,6591.51577645
PL00,PL00,Gas,40122.4474742
PL00,PL00,Hydro,2980.4034906300003
PL00,PL00,Solar,5605.37832379
PL00,PL00,Wind Onshore,43000.34178793
PL00,PL00,Other Non RES,14653.64563261
PL00,PL00,Other RES,1907.0562295600002
PL00,PL00,Wind Offshore,60429.29761347
PL00,PL00H2R1,Solar,3459.66360705
PL00,PL00H2R1,Wind Onshore,83753.73741828
PL00,PL00HER4,Solar,10911.5108526
PL00,PL00HER4,Wind Onshore,53621.88861917
PL00,PL00HER4,Wind Offshore,6456.13071532
PL00,PL00RETE,Solar,20298.88634595
PT00,PT00,Gas,5035.89732384
PT00,PT00,Hydro,15154.54585092
PT00,PT00,Solar,20874.71104673
PT00,PT00,Wind Onshore,26911.09700809
PT00,PT00,Other Non RES,2135.28663851
PT00,PT00,Other RES,5785.76709822
PT00,PT00,Wind Offshore,2658.1683892
PT00,PT00H2R1,Solar,17349.83472953
PT00,PT00H2R1,Wind Onshore,40429.71241605
PT00,PT00RETE,Solar,12529.960412080001
RO00,RO00,Gas,9694.5335577
RO00,RO00,Hydro,16647.822052249998
RO00,RO00,Solar,8014.24398038
RO00,RO00,Wind Onshore,11858.70832114
RO00,RO00,Other RES,1915.22319998
RO00,RO00,Nuclear,4220.20733482
RO00,RO00H2R1,Solar,25516.70040926
RO00,RO00H2R1,Wind Onshore,88518.17719099001
RO00,RO00H2R4,Solar,2359.80431986
RO00,RO00H2R4,Wind Onshore,2732.56021034
RO00,RO00RETE,Solar,13627.7384898
RS00,RS00,Gas,653.6743635500001
RS00,RS00,Hydro,10784.95207349
RS00,RS00,Solar,945.49507943
RS00,RS00,Wind Onshore,11998.11800685
RS00,RS00,Other RES,1735.19014087
RS00,RS00RETE,Solar,108.25338448
SE01,SE01,Hydro,21342.34138179
