node,nodeline,fuel,generation
AL00,AL00,Gas,695.85691864
AL00,AL00,Hydro,12285.66067833
AL00,AL00,Solar,2205.79318416
AL00,AL00,Wind Onshore,4853.03848333
AT00,AT00,Hydro,48971.589396359996
AT00,AT00,Solar,13038.86884215
AT00,AT00,Wind Onshore,34676.61450785
AT00,AT00,Other Non RES,8339.84424981
AT00,AT00,Other RES,3283.2979803099997
AT00,AT00H2R1,Solar,14924.08706181
AT00,AT00H2R1,Wind Onshore,27510.010565689998
AT00,AT00RETE,Solar,26868.9490129
BA00,BA00,Hydro,5476.0450471
BA00,BA00,Solar,4039.68384724
BA00,BA00,Wind Onshore,5935.5932701
BE00,BE00,Gas,16179.787344739998
BE00,BE00,Hydro,1097.11695095
BE00,BE00,Solar,6542.79111386
BE00,BE00,Wind Onshore,15133.24186374
BE00,BE00,Other Non RES,1494.67954611
BE00,BE00,Other RES,2239.0924806499997
BE00,BE00,Wind Offshore,27973.42627715
BE00,BE00,Biofuels,1103.93494405
BE00,BE00H2R1,Solar,3634.93238454
BE00,BE00H2R1,Wind Onshore,12991.418250460001
BE00,BE00RETE,Solar,18107.87486355
BG00,BG00,Gas,3152.5616952799996
BG00,BG00,Hydro,5198.84233768
BG00,BG00,Solar,1862.37771309
BG00,BG00,Wind Onshore,1705.58018213
BG00,BG00,Other RES,1190.89405664
BG00,BG00,Wind Offshore,1925.6521924
BG00,BG00,Nuclear,16432.44090834
BG00,BG00H2R1,Solar,6979.60046927
BG00,BG00H2R1,Wind Onshore,14744.71101598
BG00,BG00RETE,Solar,8827.31038387
CH00,CH00,Hydro,38887.81806246
CH00,CH00,Wind Onshore,1014.9599955799999
CH00,CH00,Other Non RES,999.99999976
CH00,CH00,Other RES,8736
CY00,CY00,Gas,1023.71321444
CY00,CY00,Solar,3435.7394916000003
CY00,CY00,Wind Onshore,521.8914171
CY00,CY00,Other RES,61.26070619
CY00,CY00RETE,Solar,88.48533453
CZ00,CZ00,Gas,5229.267751390001
CZ00,CZ00,Hydro,2412.39252166
CZ00,CZ00,Solar,4588.00076085
CZ00,CZ00,Wind Onshore,8639.35150013
CZ00,CZ00,Other Non RES,5531.17080432
CZ00,CZ00,Other RES,4354.72191388
CZ00,CZ00,Nuclear,18364.88267453
CZ00,CZ00H2R1,Solar,11612.98408389
CZ00,CZ00H2R1,Wind Onshore,28000.83863149
CZ00,CZ00RETE,Solar,3312.37846802
DE00,DE00,Gas,41235.43302459
DE00,DE00,Hydro,29588.414099329995
DE00,DE00,Solar,60981.60312459
DE00,DE00,Wind Onshore,158649.30842433
DE00,DE00,Other Non RES,48206.05546575
DE00,DE00,Other RES,48669.399239440005
DE00,DE00,Wind Offshore,297891.85497355
DE00,DE00H2R1,Wind Onshore,192950.93769474002
DE00,DE00H2R4,Wind Onshore,3028.54352812
DE00,DE00H2R4,Wind Offshore,14678.61895629
DE00,DE00HER4,Wind Onshore,2976.43095441
DE00,DE00HER4,Wind Offshore,13308.475788889999
DE00,DE00RETE,Solar,74251.03871491
DKE1,DKE1,Gas,8.88476667
DKE1,DKE1,Solar,1724.93995188
DKE1,DKE1,Wind Onshore,6414.95538389
DKE1,DKE1,Other Non RES,41.3858397
DKE1,DKE1,Other RES,61.46551121
DKE1,DKE1,Wind Offshore,27318.24231142
DKE1,DKE1,Biofuels,1052.4350539499999
DKE1,DKE1H2R1,Solar,30.19461943
DKE1,DKE1H2R1,Wind Onshore,106.74856513
DKE1,DKE1H2R4,Wind Offshore,5562.73241664
DKE1,DKE1HER4,Wind Offshore,4357.1066512
DKE1,DKE1RETE,Solar,2515.53784185
DKW1,DKW1,Gas,52.98635774000001
DKW1,DKW1,Solar,2612.1609255
DKW1,DKW1,Wind Onshore,5910.64442771
DKW1,DKW1,Other Non RES,109.00048766
DKW1,DKW1,Other RES,367.54921046000004
DKW1,DKW1,Wind Offshore,102477.05841037
DKW1,DKW1,Biofuels,1028.72665559
DKW1,DKW1H2R1,Solar,725.63998132
DKW1,DKW1H2R1,Wind Onshore,2739.28053553
DKW1,DKW1H2R4,Wind Onshore,202.68528875
DKW1,DKW1H2R4,Wind Offshore,10092.0865633
DKW1,DKW1HER4,Wind Onshore,590.4463328
DKW1,DKW1HER4,Wind Offshore,9311.2934362
DKW1,DKW1RETE,Solar,4422.45019187
EE00,EE00,Solar,308.77779191
EE00,EE00,Wind Onshore,1746.35551167
EE00,EE00,Other Non RES,1287.14468023
EE00,EE00,Other RES,1013.5615698
EE00,EE00,Wind Offshore,5712.67180343
EE00,EE00,Biofuels,303.86187368
EE00,EE00RETE,Solar,426.8121028
ES00,ES00,Gas,17082.18068958
ES00,ES00,Hydro,33408.11855412
ES00,ES00,Solar,83908.66652710001
ES00,ES00,Wind Onshore,103052.44419378
ES00,ES00,Other Non RES,18638.3675803
ES00,ES00,Other RES,7543.35087097
ES00,ES00,Wind Offshore,53406.14133267
