index,lower_node,stor_max,zone,type,planttype,country
AT00_psp_closed_upper_node,,0.0,AT00,upper,psp_closed,AT
AT00_psp_open_upper_node,,1722178.0,AT00,upper,psp_open,AT
AT00_dam_upper_node,,762386.2000000001,AT00,upper,dam,AT
BE00_psp_closed_upper_node,,5300.0,BE00,upper,psp_closed,BE
BE00_psp_open_upper_node,,0.0,BE00,upper,psp_open,BE
BE00_dam_upper_node,,0.0,BE00,upper,dam,BE
CH00_psp_closed_upper_node,,670000.0,CH00,upper,psp_closed,CH
CH00_psp_open_upper_node,,0.0,CH00,upper,psp_open,CH
CH00_dam_upper_node,,8155000.0,CH00,upper,dam,CH
CZ00_psp_closed_upper_node,,3700.0,CZ00,upper,psp_closed,CZ
CZ00_psp_open_upper_node,,2300.0,CZ00,upper,psp_open,CZ
CZ00_dam_upper_node,,2500.0,CZ00,upper,dam,CZ
DE00_psp_closed_upper_node,,355000.0,DE00,upper,psp_closed,DE
DE00_psp_open_upper_node,,417000.0,DE00,upper,psp_open,DE
DE00_dam_upper_node,,258000.0,DE00,upper,dam,DE
ES00_psp_closed_upper_node,,95400.0,ES00,upper,psp_closed,ES
ES00_psp_open_upper_node,,6185000.0,ES00,upper,psp_open,ES
ES00_dam_upper_node,,11840000.0,ES00,upper,dam,ES
FR00_psp_closed_upper_node,,10000.0,FR00,upper,psp_closed,FR
FR00_psp_open_upper_node,,90000.0,FR00,upper,psp_open,FR
FR00_dam_upper_node,,10000000.0,FR00,upper,dam,FR
HR00_psp_closed_upper_node,,0.0,HR00,upper,psp_closed,HR
HR00_psp_open_upper_node,,18300.0,HR00,upper,psp_open,HR
HR00_dam_upper_node,,2045900.0,HR00,upper,dam,HR
HU00_psp_closed_upper_node,,0.0,HU00,upper,psp_closed,HU
HU00_psp_open_upper_node,,0.0,HU00,upper,psp_open,HU
HU00_dam_upper_node,,0.0,HU00,upper,dam,HU
ITCN_psp_closed_upper_node,,0.0,ITCN,upper,psp_closed,IT
ITCN_psp_open_upper_node,,0.0,ITCN,upper,psp_open,IT
ITCN_dam_upper_node,,461130.0,ITCN,upper,dam,IT
ITCS_psp_closed_upper_node,,3380.0,ITCS,upper,psp_closed,IT
ITCS_psp_open_upper_node,,93240.0,ITCS,upper,psp_open,IT
ITCS_dam_upper_node,,529200.0,ITCS,upper,dam,IT
ITN1_psp_closed_upper_node,,17420.0,ITN1,upper,psp_closed,IT
ITN1_psp_open_upper_node,,194000.0,ITN1,upper,psp_open,IT
ITN1_dam_upper_node,,3707000.0,ITN1,upper,dam,IT
ITS1_psp_closed_upper_node,,0.0,ITS1,upper,psp_closed,IT
ITS1_psp_open_upper_node,,0.0,ITS1,upper,psp_open,IT
ITS1_dam_upper_node,,726170.0,ITS1,upper,dam,IT
ITSA_psp_closed_upper_node,,0.0,ITSA,upper,psp_closed,IT
ITSA_psp_open_upper_node,,74250.0,ITSA,upper,psp_open,IT
ITSA_dam_upper_node,,144350.0,ITSA,upper,dam,IT
ITSI_psp_closed_upper_node,,1600.0,ITSI,upper,psp_closed,IT
ITSI_psp_open_upper_node,,20390.0,ITSI,upper,psp_open,IT
