index,week,MWh
AL00_Dam_upper_node,w1,1427.985245681941
AL00_Dam_upper_node,w2,1098.6798704002697
AL00_Dam_upper_node,w3,992.8498141361184
AL00_Dam_upper_node,w4,673.1858915916441
AL00_Dam_upper_node,w5,951.7438864433964
AL00_Dam_upper_node,w6,617.578095469003
AL00_Dam_upper_node,w7,486.31634151617254
AL00_Dam_upper_node,w8,604.2546946630727
AL00_Dam_upper_node,w9,475.46589090566044
AL00_Dam_upper_node,w10,933.5600699447442
AL00_Dam_upper_node,w11,863.0474061010781
AL00_Dam_upper_node,w12,837.9454351051215
AL00_Dam_upper_node,w13,655.0448174420487
AL00_Dam_upper_node,w14,1059.4790302654987
AL00_Dam_upper_node,w15,1073.0710972654986
AL00_Dam_upper_node,w16,849.5957782479785
AL00_Dam_upper_node,w17,637.6120450768196
AL00_Dam_upper_node,w18,1023.6731538557952
AL00_Dam_upper_node,w19,1117.8467609272238
AL00_Dam_upper_node,w20,886.915955024259
AL00_Dam_upper_node,w21,749.8290295
AL00_Dam_upper_node,w22,770.0034182547172
AL00_Dam_upper_node,w23,928.6752300525607
AL00_Dam_upper_node,w24,775.3828481859839
AL00_Dam_upper_node,w25,660.8211406145554
AL00_Dam_upper_node,w26,644.7255931698113
AL00_Dam_upper_node,w27,600.5483223948786
AL00_Dam_upper_node,w28,524.3692442762804
AL00_Dam_upper_node,w29,624.9236734568732
AL00_Dam_upper_node,w30,684.4759777924529
AL00_Dam_upper_node,w31,646.838286423181
AL00_Dam_upper_node,w32,753.9994615579518
AL00_Dam_upper_node,w33,580.3311912911053
AL00_Dam_upper_node,w34,389.11413371159034
AL00_Dam_upper_node,w35,559.3996523530998
AL00_Dam_upper_node,w36,861.685756981132
AL00_Dam_upper_node,w37,1010.7466462911053
AL00_Dam_upper_node,w38,958.3139960983826
AL00_Dam_upper_node,w39,1455.4624700754719
AL00_Dam_upper_node,w40,1039.6221561037737
AL00_Dam_upper_node,w41,715.0245452681941
AL00_Dam_upper_node,w42,532.3010030512131
AL00_Dam_upper_node,w43,519.2340563396227
AL00_Dam_upper_node,w44,531.2324443247979
AL00_Dam_upper_node,w45,560.8528922210244
