zone,week,Minimum Reservoir levels at beginning of each week,Maximum Reservoir level at beginning of each week
AT00,1,0.2440622547693368,0.6447391681023898
AT00,2,0.2440622547693368,0.6447391681023898
AT00,3,0.2440622547693368,0.6447391681023898
AT00,4,0.2440622547693368,0.6447391681023898
AT00,5,0.2361920789111511,0.5805302153962688
AT00,6,0.2283219030529653,0.5163212626901477
AT00,7,0.2283219030529653,0.5163212626901477
AT00,8,0.2283219030529653,0.5163212626901477
AT00,9,0.2283219030529653,0.5163212626901477
AT00,10,0.1475916689215693,0.3555129020456534
AT00,11,0.1475916689215693,0.3555129020456534
AT00,12,0.1475916689215693,0.3555129020456534
AT00,13,0.1475916689215693,0.3555129020456534
AT00,14,0.115652881846551,0.3286058705908138
AT00,15,0.08371409477153267,0.3016988391359742
AT00,16,0.08371409477153267,0.3016988391359742
AT00,17,0.08371409477153267,0.3016988391359742
AT00,18,0.1089363348323061,0.3656443142614148
AT00,19,0.1341585748930796,0.4295897893868554
AT00,20,0.1341585748930796,0.4295897893868554
AT00,21,0.1341585748930796,0.4295897893868554
AT00,22,0.1341585748930796,0.4295897893868554
AT00,23,0.2674282323105264,0.5503076991033821
AT00,24,0.4006978897279732,0.6710256088199087
AT00,25,0.4006978897279732,0.6710256088199087
AT00,26,0.4006978897279732,0.6710256088199087
AT00,27,0.4982704354639239,0.7476477147945608
AT00,28,0.5958429811998747,0.824269820769213
AT00,29,0.5958429811998747,0.824269820769213
AT00,30,0.5958429811998747,0.824269820769213
AT00,31,0.6428944446638136,0.8736291472336657
AT00,32,0.6899459081277526,0.9229884736981184
AT00,33,0.6899459081277526,0.9229884736981184
AT00,34,0.6899459081277526,0.9229884736981184
AT00,35,0.6899459081277526,0.9229884736981184
AT00,36,0.7228081728481885,0.9260235620955829
AT00,37,0.7228081728481885,0.9260235620955829
AT00,38,0.7228081728481885,0.9260235620955829
AT00,39,0.7228081728481885,0.9260235620955829
AT00,40,0.6694021712856,0.916242776654375
AT00,41,0.6159961697230114,0.9064619912131671
AT00,42,0.6159961697230114,0.9064619912131671
AT00,43,0.6159961697230114,0.9064619912131671
AT00,44,0.6159961697230114,0.9064619912131671
AT00,45,0.5494161021131818,0.8534165418813049
AT00,46,0.5494161021131818,0.8534165418813049
AT00,47,0.5494161021131818,0.8534165418813049
AT00,48,0.5494161021131818,0.8534165418813049
AT00,49,0.5038530928967684,0.7505842885768816
AT00,50,0.5038530928967684,0.7505842885768816
AT00,51,0.5038530928967684,0.7505842885768816
AT00,52,0.5038530928967684,0.7505842885768816
AT00,53,0.5038530928967684,0.7505842885768816
CH00,1,0.06229307173513182,1
CH00,2,0.06229307173513182,1
CH00,3,0.06229307173513182,1
CH00,4,0.06229307173513182,1
CH00,5,0.06229307173513182,1
CH00,6,0.06229307173513182,1
CH00,7,0.06229307173513182,1
CH00,8,0.06229307173513182,1
CH00,9,0.06229307173513182,1
CH00,10,0.06229307173513182,1
CH00,11,0.06229307173513182,1
CH00,12,0.06229307173513182,1
CH00,13,0.06229307173513182,1
CH00,14,0.06229307173513182,1
CH00,15,0.06229307173513182,1
CH00,16,0.06229307173513182,1
CH00,17,0.06229307173513182,1
CH00,18,0.06229307173513182,1
CH00,19,0.06229307173513182,1
CH00,20,0.06229307173513182,1
CH00,21,0.06229307173513182,1
CH00,22,0.06229307173513182,1
CH00,23,0.06229307173513182,1
CH00,24,0.06229307173513182,1
CH00,25,0.06229307173513182,1
CH00,26,0.06229307173513182,1
CH00,27,0.06229307173513182,1
CH00,28,0.06229307173513182,1
CH00,29,0.06229307173513182,1
CH00,30,0.06229307173513182,1
CH00,31,0.06229307173513182,1
CH00,32,0.06229307173513182,1
CH00,33,0.06229307173513182,1
CH00,34,0.06229307173513182,1
CH00,35,0.06229307173513182,1
CH00,36,0.06229307173513182,1
CH00,37,0.06229307173513182,1
CH00,38,0.06229307173513182,1
CH00,39,0.06229307173513182,1
CH00,40,0.06229307173513182,1
CH00,41,0.06229307173513182,1
CH00,42,0.06229307173513182,1
CH00,43,0.06229307173513182,1
CH00,44,0.06229307173513182,1
CH00,45,0.06229307173513182,1
CH00,46,0.06229307173513182,1
CH00,47,0.06229307173513182,1
CH00,48,0.06229307173513182,1
CH00,49,0.06229307173513182,1
CH00,50,0.06229307173513182,1
CH00,51,0.06229307173513182,1
